ENGEC311,Moreshet,3.6,900,1045,TR
ENGEC311,Giles,2.4,1330,1515,TR
ENGEC330,Li,2.5,2420,1405,MW
ENGEK210,Zaman,4.8,800,945,M
ENGEK210,Zaman,4.8,1430,1615,M
ENGEK210,Giles,2.4,800,945,W
ENGEK210,Giles,2.4,1430,1615,W
ENGEK210,Grace,4,800,945,F
ENGEK210,Perkins,4.6,1430,1615,F
ENGEK381,Nazer,3,1530,1715,TR
ENGEK381,Lewis,0,1330,1515,TR
ENGEK381,Nagem,4.8,1010,1155,MW
CASMA226,Lin,4.1,1010,1100,MWF
CASMA226,Chung,3.4,930,1045,TR
CASMA226,Hall,3.5,905,955,MWF
